name,is_open,latitude,longitude,stars_x,cool,funny,stars_y,al pastor score,al pastor ratio,daal score,daal ratio,lamb shwarma score,lamb shwarma ratio,lamb shawarma score,lamb shawarma ratio,shawarma score,shawarma ratio,taco score,taco ratio,taco  score,taco  ratio,Weighted taco score
Scaddabush Italian Kitchen & Bar,1.0,43.65824629319602,-79.38526235340159,3.4876288659793815,0.3402061855670103,0.21030927835051547,3.6041237113402063,,,,,,,,,,,6.1405306796514925,0.06185567010309261,,,6.333411315437955
Sugo,1.0,43.658230199999934,-79.4422233,4.5,0.5374149659863946,0.22448979591836735,4.45578231292517,,,,,,,,,,,5.6135013901165065,0.03401360544217686,,,5.709785522769512
Under The Table Restaurant,0.0,43.66742279999978,-79.36945560000024,4.5,0.7096774193548387,0.4143920595533499,4.583126550868486,,,,,,,,,,,5.656162203744065,0.007444168734491282,,,5.677254145303717
Luce Restaurant,0.0,43.643056099999995,-79.40681769999998,4.0,0.045454545454545456,0.5,3.8636363636363638,,,,,,,,,,,4.644930115051651,0.22727272727272724,,,5.203922616782812
TKO's The Sports Pub,1.0,43.68357419999999,-79.32320550000003,3.5,0.38461538461538464,0.23076923076923078,3.6923076923076925,,,,,,,,,,,4.880804868298124,0.1153846153846154,,,5.17067088962236
Copacabana Brazilian Steak House,1.0,43.707863100000274,-79.39415599999948,3.5,0.46175637393767704,0.5354107648725213,3.668555240793201,,,,,,,,,,,5.050954581101922,0.016997167138810262,,,5.0940634634697926
The Beach House Bar & Grill,0.0,43.669426,-79.30250299999999,3.5,0.5,0.21428571428571427,3.5714285714285716,,,,,,,,,,,4.688075987460962,0.14285714285714282,,,5.035187840879283
Pizza La Rosa,1.0,43.772573300000076,-79.32185930000009,4.0,2.7804878048780486,1.6097560975609757,4.073170731707317,,,,,,,,,,,4.882729091786358,0.036585365853658555,,,4.972869245948471
Fusaro's,1.0,43.65342280000003,-79.3694323999999,4.0,0.2261904761904762,0.16666666666666666,4.190476190476191,,,,,,,,,,,4.7216391386571495,0.0714285714285714,,,4.893316527926525
Little Anthony's,1.0,43.65040599999999,-79.3843579999999,3.5,0.2781954887218045,0.3609022556390977,3.6090225563909772,,,,,,,,,,,4.760131529778014,0.052631578947368335,,,4.887060947884778
Cibo Wine Bar,1.0,43.66818529808651,-79.39710627081277,3.2535885167464116,0.2743221690590112,0.2743221690590112,3.263157894736842,,,,,,,,,,,4.8350522870435935,0.019313304721030038,,,4.881968870106744
JOEY Eaton Centre,1.0,43.655870896400224,-79.38200919020088,3.5,0.33954451345755693,0.33540372670807456,3.7246376811594204,,,,,,,,,,,4.863290159207477,0.00621118012422354,7.914804512537656,0.15113871635610726,4.878417021553942
Super Point,1.0,43.64839389999998,-79.42068399999991,3.5,0.4175824175824176,0.3076923076923077,3.4065934065934065,,,,,,,,,,,4.760338264757196,0.021978021978021945,,,4.812938155325772
Tibet Cafe,1.0,43.65390610000002,-79.40011529999995,4.0,0.4358974358974359,0.3076923076923077,3.8205128205128207,,,,,,,,,,,4.628353783830371,0.07692307692307696,,,4.809835043731001
Carousel Bakery,1.0,43.648846675700035,-79.37181210749989,3.5,1.1474654377880185,0.6359447004608295,3.6774193548387095,,,,,,,,,,,4.709142771599454,0.03225806451612901,,,4.785712525350836
G For Gelato and Pizza Bar,0.0,43.651337503099974,-79.3718691068002,4.0,0.3072289156626506,0.24096385542168675,4.156626506024097,,,,,,,,,,,4.734613651115374,0.012048192771084308,,,4.763221501808747
Duke's Refresher + Bar,1.0,43.6590440287,-79.38307072469982,4.0,0.84375,0.34375,3.875,,,,,,,,,,,4.708406458890862,0.015625,6.1489491196424675,0.08333333333333355,4.745334948435411
Roma1090,0.0,43.66027979999997,-79.4339344,3.5,0.08333333333333333,0.16666666666666666,3.4444444444444446,,,,,,,,,,,4.488131815312736,0.08333333333333336,,,4.67908793413903
Bryden's,1.0,43.64903649999998,-79.48457010000006,4.0,0.4852941176470588,0.23529411764705882,3.838235294117647,,,,,,,,,,,4.471760992468211,0.04411764705882349,,,4.5714987839721495
Future Bistro,1.0,43.66579167599976,-79.40759574019998,3.5,0.4434389140271493,0.43891402714932126,3.266968325791855,,,,,,,,,,,4.380444253763784,0.02714932126696825,,,4.440312725692568
Colonnade Gourmet & Kitchen,0.0,43.6687028,-79.39231540000002,3.5,0.5,0.5,3.625,,,,,,,,,,,3.8600492803302098,0.25,,,4.374008870767893
California Sandwiches,1.0,43.75427202219999,-79.35168156400003,4.0,0.4666666666666667,0.2222222222222222,3.933333333333333,,,,,,,,,,,4.271644878796308,0.04444444444444447,,,4.367632904069498
Porchetta & Co,1.0,43.64421690000012,-79.39868600000032,4.0,0.4,0.23333333333333334,3.9444444444444446,,,,,,,,,,,4.225228595338071,0.016666666666666635,,,4.260585951335117
Banknote Bar,1.0,43.643845399999954,-79.40236160000012,3.5,0.30864197530864196,0.16049382716049382,3.4691358024691357,,,,,,,,,,,4.2067570196088795,0.024691358024691412,,,4.259014202928274
Jack Astor's Bar & Grill,0.783625730994152,43.65630140434392,-79.40297548627551,3.049122807017544,0.3883040935672515,0.3368421052631579,3.0339181286549706,,,,,,,,,,,4.168653310924719,0.022727272727272686,,,4.216294547452884
Cafe Diplomatico Restaurant & Pizzeria,1.0,43.65525499999985,-79.41373200000042,3.0,0.3333333333333333,0.3230769230769231,3.123076923076923,,,,,,,,,,,4.040136456704424,0.061538461538461355,,,4.166380605419006
Fran's Restaurant,1.0,43.656586736252486,-79.380996532631,3.152360515021459,0.34048640915593703,0.37339055793991416,3.011444921316166,,,,,,,,,,,4.097885902281396,0.020028612303290526,,,4.139129554882705
Village Genius Pub & Grill,1.0,43.65444620000009,-79.39161600000003,3.0,0.4666666666666667,0.4,3.1416666666666666,,,,,,,,,,,4.092328713805682,0.01666666666666665,,,4.126573943365714
Hunters Landing Bar Grill Hub Restaurant,1.0,43.6399996,-79.3966204999998,3.5,0.31390134529147984,0.27802690582959644,3.282511210762332,,,,,,,,,,,4.0589517352113695,0.008968609865470874,6.021113582902817,0.08968609865470853,4.077194184281729
Copacabana Brazilian Steakhouse,1.0,43.648344082299865,-79.3878309801002,3.5,0.28115015974440893,0.21405750798722045,3.4952076677316293,,,,,,,,,,,3.9905776814901004,0.009584664536741153,,,4.009747753671269
Bar Italia,0.0,43.65541359999998,-79.41339200000014,3.0,0.6741573033707865,0.651685393258427,3.202247191011236,,,,,,,,,,,3.908101232651896,0.011235955056179796,,,3.930118646313188
Bar Milano,0.0,43.63876899999997,-79.38075710000008,2.5,0.2857142857142857,0.19047619047619047,2.5,,,,,,,,,,,3.7178312524925987,0.0952380952380953,,,3.8991537766808064
Crave Grill House,1.0,43.734934000000024,-79.60637600000005,3.0,0.1111111111111111,0.1111111111111111,3.022222222222222,,,,,,,,,,,3.689468365508173,0.08888888888888893,,,3.8571432458662116
L'espresso Bar Mercurio,1.0,43.66764454090005,-79.40059296609982,3.0,0.6168831168831169,0.38961038961038963,3.1233766233766236,,,,,,,,,,,3.6812767957312134,0.012987012987012936,,,3.705258970443741
Jawny Bakers Restaurant,1.0,43.70575790000002,-79.3129743999999,3.5,0.7857142857142857,0.9285714285714286,3.3392857142857144,,,,,,,,,,,3.421770147268198,0.035714285714285754,,,3.4834220104017444
Bar Vespa,0.0,43.638436000000056,-79.41742299999993,3.0,0.41025641025641024,0.20512820512820512,3.1794871794871793,,,,,,,,,,,3.365213154534962,0.038461538461538436,,,3.430555066002509
Fox & Fiddle,1.0,43.640286871800036,-79.39406890330001,2.5,0.14492753623188406,0.13043478260869565,2.579710144927536,,,,,,,,,,,3.1422284448824183,0.043478260869565265,,,3.211285661194837
The Pickle Barrel,1.0,43.716857555042814,-79.42948359308372,2.2752161383285303,0.30547550432276654,0.2881844380403458,2.478386167146974,,,,,,,,,,,3.1889171495946274,0.011527377521613789,,,3.207350145525814
Milestones Restaurants,0.6150870406189555,43.69960601996719,-79.36890409854597,2.730174081237911,0.344294003868472,0.24758220502901354,2.711798839458414,,,,,,,,,,,3.0204086352825863,0.017369727047146188,3.7018992341917807,0.05031446540880555,3.046754712508043
Da-Maria Pizzeria & Spaghetti House,1.0,43.682579300000015,-79.4222757,2.5,0.7368421052631579,1.5789473684210527,2.526315789473684,,,,,,,,,,,2.5048785296828493,0.1052631578947368,,,2.6402452779684373
