name,is_open,latitude,longitude,stars_x,cool,funny,stars_y,al pastor score,al pastor ratio,daal score,daal ratio,lamb shwarma score,lamb shwarma ratio,lamb shawarma score,lamb shawarma ratio,shawarma score,shawarma ratio,taco score,taco ratio,taco  score,taco  ratio,Weighted taco score
The Danish Pastry House,1.0,43.63949244782612,-79.41112919130424,4.0,1.4673913043478262,0.7391304347826086,4.065217391304348,,,,,,,,,,,6.216866837709576,0.17105263157894732,,,6.771972285763826
Nadege,0.9704545454545455,43.649630327772364,-79.40685726114104,3.9704545454545452,0.6181818181818182,0.37727272727272726,3.9318181818181817,,,,,,,,,,,6.49949697077905,0.04215456674473087,,,6.637942613878878
Bonjour Brioche,1.0,43.65995090000016,-79.34561259999951,3.5,0.6357615894039735,0.5397350993377483,3.5397350993377485,,,,,,,,,,,5.780206910984882,0.06622516556291416,,,5.974808592481183
Think It Pensa Italiano,1.0,43.661920069,-79.4072854911,4.5,0.0,0.0,4.333333333333333,,,,,,,,,,,4.997350379841651,0.3333333333333333,,,5.903671907964026
Gouter,1.0,43.728853400000006,-79.4315987,4.5,9.142857142857142,4.214285714285714,4.285714285714286,,,,,,,,,,,5.279684406987064,0.21428571428571427,,,5.87678110957048
Butter Baker,1.0,43.655837100000085,-79.38445619999987,4.0,0.6120218579234973,0.16393442622950818,4.087431693989071,,,,,,,,,,,5.621134347635347,0.049180327868852486,,,5.761072461961344
Delysees,0.0,43.64722100000011,-79.38036599999987,4.5,0.5766871165644172,0.3558282208588957,4.300613496932515,,,,,,,,,,,5.517902723893024,0.03680981595092011,,,5.6203995447178094
The Tempered Room,1.0,43.64146500000003,-79.43314900000009,4.0,0.5774647887323944,0.36619718309859156,4.014084507042254,,,,,,,,,,,5.323568853260385,0.09859154929577477,,,5.5925742453355385
Absolute Bakery & Cafe,0.9183673469387755,43.66841420204085,-79.36738683061235,4.0,1.8979591836734695,1.3877551020408163,4.224489795918367,,,,,,,,,,,5.3815522613897215,0.06666666666666672,,,5.563960586168758
Mon K Patisserie,1.0,43.696956199999974,-79.32936950000015,4.5,0.5154639175257731,0.21649484536082475,4.443298969072165,,,,,,,,,,,5.36144653029004,0.03092783505154632,,,5.44499986315599
Rialto Espresso Bar,1.0,43.648110600000074,-79.38979709999991,4.5,1.2564102564102564,0.6282051282051282,4.3076923076923075,,,,,,,,,,,5.371463081662384,0.025641025641025602,,,5.440771327270052
Brioche Doree,1.0,43.64417910000001,-79.40184719999989,3.5,0.21818181818181817,0.16363636363636364,3.4909090909090907,,,,,,,,,,,5.13824102145484,0.10909090909090913,,,5.426293269565594
Miku,1.0,43.641234599999784,-79.37736969999972,4.0,0.3926218708827404,0.17523056653491437,4.221343873517786,,,,,,,,,,,5.401111314315017,0.006587615283267545,,,5.418930867014239
Thobors Boulangerie Patisserie Café,0.927710843373494,43.70162114981571,-79.39187238267242,3.427710843373494,0.8674698795180723,0.6385542168674698,3.5783132530120483,,,,,,,,,,,5.071628267309676,0.10769230769230756,,,5.352202064954592
Rahier Patisserie,1.0,43.7057436,-79.37534260000008,4.0,1.3111111111111111,0.6666666666666666,3.977777777777778,,,,,,,,,,,5.1109379541207876,0.08888888888888875,,,5.343214213211716
Stonemill Bakehouse,1.0,43.64966239999998,-79.37202099999998,3.5,0.7586206896551724,0.5517241379310345,3.689655172413793,,,,,,,,,,,4.797508854630849,0.20689655172413793,,,5.320381814580023
Flying Pony,1.0,43.67247687720002,-79.32047359079996,4.0,1.1290322580645162,0.8064516129032258,4.0,,,,,,,,,,,4.994082575393387,0.09677419354838705,,,5.241673530619311
About Cheese,0.0,43.66492199999999,-79.38058540000006,4.5,1.5405405405405406,1.1891891891891893,4.486486486486487,,,,,,,,,,,5.067140418263251,0.05405405405405401,,,5.205957617461058
Epi Breads,1.0,43.704001,-79.37483500000003,4.0,0.696969696969697,1.0909090909090908,4.151515151515151,,,,,,,,,,,5.037328391278348,0.060606060606060566,,,5.192311069028182
Cherry Bomb Coffee,1.0,43.64149399999998,-79.44705,4.0,1.5466666666666666,1.04,3.8933333333333335,,,,,,,,,,,5.043779629998865,0.05333333333333326,,,5.180089811676542
