name,is_open,latitude,longitude,stars_x,cool,funny,stars_y,al pastor score,al pastor ratio,daal score,daal ratio,lamb shwarma score,lamb shwarma ratio,lamb shawarma score,lamb shawarma ratio,shawarma score,shawarma ratio,taco score,taco ratio,taco  score,taco  ratio,Weighted taco score
Ji,0.0,43.6813532,-79.42842049999996,4.5,0.17391304347826086,0.08695652173913043,4.391304347826087,,,,,,,,,,,5.637481867063701,0.21739130434782614,,,6.284794474244168
Utsav,1.0,43.67105360000004,-79.3909546000001,4.0,0.4838709677419355,0.18548387096774194,3.967741935483871,,,4.08024842183073,0.016129032258064505,,,,,,,5.761567068891158,0.09677419354838733,,,6.047207498869956
Little India Restaurant,1.0,43.650200800000256,-79.38889449999989,3.5,0.31794871794871793,0.441025641025641,3.5205128205128204,,,4.054754804275258,0.007692307692307668,,,,,,,5.593547815041138,0.02307692307692301,,,5.65846253918631
Earth Indian,0.0,43.78984250000002,-79.41805919999995,3.5,0.16666666666666666,0.16666666666666666,3.7222222222222223,,,4.385369394031404,0.027777777777777783,,,,,,,5.038972995580347,0.08333333333333336,,,5.253365701878232
Iqbal Kebab & Sweet Centre,1.0,43.70653829999997,-79.35157200000002,4.0,0.2708333333333333,0.375,3.75,,,4.29877143521779,0.0625,,,,,,,4.947663810426661,0.04166666666666669,,,5.0518213469041005
Tich Modern Indian Cuisine,1.0,43.61759401639994,-79.48723787979999,3.5,0.3253012048192771,0.3614457831325301,3.63855421686747,,,3.8628069298202727,0.03614457831325301,,,,,,,4.813330082043199,0.08433734939759045,,,5.020642150852847
Indian Street Food Company,1.0,43.70800199999997,-79.375814,4.0,0.1267605633802817,0.07042253521126761,3.7746478873239435,,,4.408037185407528,0.04225352112676052,,,,,,,4.834915701298903,0.02816901408450702,,,4.903494924128966
Butter Chicken Factory,1.0,43.66702750149997,-79.36917999799994,3.5,0.3394495412844037,0.48623853211009177,3.3577981651376145,,,3.0305629518279393,0.03669724770642191,,,,,,,4.790303075029712,0.03669724770642191,,,4.879009879445919
Kitchen On Sixth,0.46296296296296297,43.601029785251825,-79.50556727009443,4.5,0.5,0.2777777777777778,4.351851851851852,,,,,,,,,,,4.7928692910614075,0.03448275862068964,,,4.876221456849161
Bhoj Indian Cuisine,1.0,43.6727919,-79.38909670000007,4.0,0.2711864406779661,0.13559322033898305,4.186440677966102,,,4.263361571599433,0.03389830508474573,,,,,,,4.695018964511039,0.06779661016949146,,,4.856900401789417
Indian Kiss,0.0,43.666132100000006,-79.46447669999999,4.0,0.1,0.4,3.9,,,,,,,,,,,4.608685115872794,0.09999999999999999,,,4.8449774546154565
Front Street Foods,1.0,43.64956435980002,-79.38464585690002,4.0,0.7636363636363637,0.34545454545454546,4.036363636363636,,,,,,,,,4.534042517866448,0.018181818181818184,4.712746683660297,0.018181818181818184,,,4.755785168398128
Amma Roti House,1.0,43.6703357,-79.29915619999998,4.0,0.18181818181818182,0.3181818181818182,3.9545454545454546,,,,,,,,,,,4.560113097050873,0.04545454545454544,,,4.664938719243624
Kamasutra Indian Restaurant & Wine Bar,1.0,43.703998300000016,-79.37483650000009,3.5,0.27184466019417475,0.4077669902912621,3.4854368932038833,,,4.2822585223581235,0.019417475728155335,,,,,,,4.508709773934807,0.058252427184466,,,4.6419625724388
Maroli Indian Restaurant,1.0,43.664552599999986,-79.41451760000007,3.5,0.41304347826086957,0.5652173913043478,3.5,,,,,,,,,,,4.424926043409479,0.043478260869565195,,,4.5221732933488825
Cinamon Indian Bistro,1.0,43.669868999999956,-79.30182150000012,4.0,0.42857142857142855,0.2,4.142857142857143,,,,,,,,,,,4.4666704872380425,0.014285714285714263,,,4.4986894938926785
Shahi Mahal,0.0,43.7356120236,-79.6047321098,3.0,0.2,0.0,2.8,,,,,,,,,,,4.043701859780891,0.2,,,4.468981696798251
309 Dhaba Indian Excellence,1.0,43.6462486999999,-79.39045289999973,3.0,0.6534090909090909,0.8409090909090909,3.085227272727273,,,2.704986463691299,0.0056818181818182045,,,,,,,4.391100695768604,0.022727272727272818,,,4.441284160610323
Indian Grill,1.0,43.64656789999994,-79.41991049999986,4.0,0.2911392405063291,0.08860759493670886,4.113924050632911,,,4.225067302672864,0.012658227848101248,,,,,,,4.360560561351422,0.025316455696202497,,,4.4161083571066655
The Abbot Pub,1.0,43.72168655128197,-79.4072023564101,4.0,0.3333333333333333,0.23076923076923078,3.8974358974358974,,,,,,,,,,,4.349722085383153,0.025641025641025682,,,4.405846757941738
