name,is_open,latitude,longitude,stars_x,cool,funny,stars_y,al pastor score,al pastor ratio,daal score,daal ratio,lamb shwarma score,lamb shwarma ratio,lamb shawarma score,lamb shawarma ratio,shawarma score,shawarma ratio,taco score,taco ratio,taco  score,taco  ratio,Weighted taco score
Sultan of Samosas,1.0,43.71883130000002,-79.30399390000001,4.0,0.40298507462686567,0.7910447761194029,4.08955223880597,,,4.531997119270955,0.0597014925373135,,,,,,,5.288706168435815,0.0597014925373135,,,5.448957912016961
Mirch Indian Cuisine,1.0,43.654447,-79.435716,4.5,0.2857142857142857,0.0,4.428571428571429,,,5.494998366379904,0.14285714285714282,,,,,,,4.86994358376571,0.14285714285714282,,,5.230521174215368
Indian Street Food Company,1.0,43.70800199999997,-79.375814,4.0,0.1267605633802817,0.07042253521126761,3.7746478873239435,,,4.408037185407528,0.04225352112676052,,,,,,,5.032768310152489,0.04225352112676052,,,5.14022551569709
Kabul Express,1.0,43.65678160000005,-79.37641789999999,4.0,0.22784810126582278,0.11392405063291139,3.810126582278481,,,4.018209334216486,0.06329113924050633,,,,,,,4.89238673993827,0.06329113924050633,,,5.049684872771406
Iqbal Kebab & Sweet Centre,1.0,43.70653829999997,-79.35157200000002,4.0,0.2708333333333333,0.375,3.75,,,4.29877143521779,0.0625,,,,,,,4.845763038871405,0.0625,,,4.99958406965839
Camros Organic Eatery,0.0,43.66952579999998,-79.38551129999998,4.0,1.109375,1.0,3.78125,,,4.316221765830071,0.03125,,,,,,,4.780646020554877,0.03125,,,4.855930240942674
Little India Restaurant,1.0,43.650200800000256,-79.38889449999989,3.5,0.31794871794871793,0.441025641025641,3.5205128205128204,,,4.054754804275258,0.007692307692307668,,,,,,,4.746064805451107,0.007692307692307668,,,4.764354049934789
Bhoj Indian Cuisine,1.0,43.6727919,-79.38909670000007,4.0,0.2711864406779661,0.13559322033898305,4.186440677966102,,,4.263361571599433,0.03389830508474573,,,,,,,4.660227297018928,0.03389830508474573,,,4.739887378785045
Kamasutra Indian Restaurant & Wine Bar,1.0,43.703998300000016,-79.37483650000009,3.5,0.27184466019417475,0.4077669902912621,3.4854368932038833,,,4.2822585223581235,0.019417475728155335,,,,,,,4.676240266379992,0.019417475728155335,,,4.721861762534552
Chill Grill & Cafe,0.0,43.6862567,-79.3099942,4.5,0.6666666666666666,0.3333333333333333,4.333333333333333,,,4.757664971061664,0.16666666666666666,,,,,,,4.324036280809086,0.16666666666666666,,,4.699812543888109
Ceylon Flavor,0.0,43.8363841,-79.2510473,3.5,0.9333333333333333,0.3333333333333333,3.8,,,4.729648595472283,0.06666666666666667,,,,,,,4.514105595579678,0.06666666666666667,,,4.667111717154111
